Season,Team_1,Team_2,Team_3,Team_4,Team_5,Team_6,Team_7,Team_8
1977
1978,Portland,Philadelphia
1979,Washington
1980,Boston,Seattle,L.A. Lakers,Philadelphia
1981,Philadelphia,Boston,Milwaukee,Phoenix
1982,Philadelphia,Milwaukee,L.A. Lakers,Boston
1983,Philadelphia,L.A. Lakers,Boston
1984,Boston
1985,Boston,Philadelphia,L.A. Lakers,Milwaukee
1986,Boston,L.A. Lakers,Milwaukee
1987,L.A. Lakers,Boston
1988,L.A. Lakers,Boston,Dallas
1989,Cleveland,Detroit,New York,L.A. Lakers,Milwaukee
1990,L.A. Lakers,Detroit,Utah,Portland,Phoenix
1991,Portland,Boston,L.A. Lakers,Chicago,Utah,Phoenix,San Antonio
1992,Chicago,Portland,Golden State
1993,Phoenix,Chicago,Seattle,New York
1994,San Antonio,Seattle,Atlanta,Houston,Utah,New York
1995,Phoenix,Orlando,Utah,San Antonio,Seattle
1996,Chicago,Seattle,Orlando,Utah,San Antonio
1997,Chicago,Miami,Detroit,New York,Utah,Seattle,L.A. Lakers,Atlanta
1998,Seattle,Chicago,Miami,Indiana,San Antonio,Utah,L.A. Lakers
1999,Portland,Orlando,Utah,Indiana,San Antonio,Miami
2000,Portland,L.A. Lakers,Indiana
2001,Philadelphia,Portland,Utah,San Antonio,L.A. Lakers,Sacramento
2002,Sacramento,Dallas,L.A. Lakers,Minnesota
2003,Dallas,Sacramento,San Antonio
2004,Indiana,Minnesota,Sacramento
2005,San Antonio,Phoenix,Miami,Seattle
2006,Detroit,San Antonio,Dallas,Phoenix
2007,Dallas,Phoenix,San Antonio,Utah
2008,Boston,Detroit,L.A. Lakers,San Antonio,New Orleans
2009,Boston,L.A. Lakers,Cleveland,Orlando,San Antonio
2010,Cleveland,L.A. Lakers
2011,San Antonio,Miami,Boston,Dallas,L.A. Lakers,Chicago
2012,Chicago,Oklahoma City,Miami,San Antonio
2013,San Antonio,Oklahoma City,L.A. Clippers,Miami,Memphis
2014,Oklahoma City,Indiana,San Antonio,Miami,Portland,Houston
2015,Atlanta,Golden State,Memphis,Houston,Portland
2016,Golden State,San Antonio,Oklahoma City,Cleveland,Toronto
2017,Golden State,San Antonio,Houston,Cleveland
2018,Golden State,Houston,Boston,Toronto
2019,Milwaukee,Toronto,Golden State,Denver
2020,Milwaukee,L.A. Lakers,Toronto,Boston,Denver,L.A. Clippers
